"scenario","robots","seed","method","success","collision","safety_violation","obstacle_collision","min_distance","completion_time","steps","final_goal_distance","progress_ratio","path_length","control_effort","smoothness","latency_ms","screen_reject_rate","screen_all_reject_rate","screen_min_margin","screen_selected_margin","screen_predicted_margin","screen_runtime_margin","rvo_intervention_rate","recovery_trigger_rate","recovery_safe_choice_rate","recovery_all_unsafe_rate","recovery_selected_margin","recovery_selected_progress","seed_index"
"bottleneck","4","14135","icgp_rvo_mpc","0","0","0","0","0.8127322196960449","16.8","140","0.2199965268373489","0.9802333153784276","11.7717564613813","0.4324090553645094","0.3288087446508663","0.5368846430428675","0.2042857142857143","0.0642857142857142","0.2477971627020372","0.3921366325234723","0.4012296401816815","0.7855672107692951","0.6875","0.0089285714285714","1.0","0.0","0.98708732671017","0.0411154243722558","4"
"bottleneck","4","14152","icgp_rvo_mpc","0","0","0","0","0.6437116861343384","16.8","140","0.2607662975788116","0.9765863846987486","11.812849332411131","0.4782263657856674","0.3689566046132573","0.6482001785635865","0.2275","0.0571428571428571","0.2420435099300509","0.4020300543426606","0.4117637018293247","0.7753852408540148","0.7142857142857143","0.0071428571428571","1.0","0.0","0.9805082548217574","0.0546908204443752","5"
"bottleneck","4","14169","icgp_rvo_mpc","0","0","0","0","0.621059775352478","16.8","140","0.3488788902759552","0.968661032617092","11.679531615664018","0.4683074655878174","0.3801033831001925","0.8292378571370916","0.2210714285714285","0.0625","0.248177488660469","0.4052226019580086","0.4167718430981587","0.7663949540958043","0.6946428571428571","0.0053571428571428","1.0","0.0","0.7926673618952433","0.0622995478411515","6"
"bottleneck","4","14186","icgp_rvo_mpc","0","0","1","0","0.519385814666748","16.8","140","0.5148772597312927","0.9536430984735488","11.38926492709288","0.5060783029658653","0.2823845199043197","0.4874851786163552","0.2657142857142857","0.0946428571428571","0.2037501976092481","0.3616220362776423","0.367259712617085","0.7370619054243953","0.6696428571428571","0.0107142857142857","1.0","0.0","1.0587339766820272","0.0413493925705552","7"
"bottleneck","4","14203","icgp_rvo_mpc","1","0","1","0","0.5028550624847412","13.32","111","0.1596929132938385","0.985735452733934","12.430464527802542","0.8426458853829719","0.5007863573243355","0.4456477480096772","0.377027027027027","0.2432432432432432","0.1427932980721358","0.2907676366724553","0.3119997911643672","0.6048546241904401","0.7815315315315315","0.0","0.0","0.0","0.0","0.0","8"
"bottleneck","4","14220","icgp_rvo_mpc","1","0","1","0","0.4653663039207458","16.439999999999998","137","0.132882073521614","0.988091710023582","12.34465881648066","0.7104271200165173","0.4464576461991417","0.5212881386511191","0.2784671532846715","0.0985401459854014","0.1909908814224857","0.359243975698681","0.3704573872046016","0.6716203843545886","0.7244525547445255","0.0054744525547445","1.0","0.0","0.8272495480086451","0.0770467265198628","9"
"bottleneck","4","14237","icgp_rvo_mpc","1","0","1","0","0.4572475254535675","16.439999999999998","137","0.1637384444475174","0.985301992855966","12.590142143650157","0.7472091576961434","0.4845391395127904","0.6993160583795835","0.2978102189781021","0.1222627737226277","0.1741509904223613","0.3438657846869311","0.3514294824729199","0.682790431190456","0.6751824817518248","0.0036496350364963","1.0","0.0","0.5634882989174204","0.1247652983292937","10"
"bottleneck","4","14254","icgp_rvo_mpc","0","0","0","0","0.5889140367507935","16.8","140","0.2809469103813171","0.9747030213475228","12.459743614253966","0.6331599823225198","0.4780562256529395","0.7161026785070135","0.3378571428571428","0.2178571428571428","0.2193896813181781","0.3624987356980953","0.4008935126325769","0.8132130581912049","0.625","0.0071428571428571","1.0","0.0","1.2494226503372192","0.1291696091531776","11"
"bottleneck","4","14271","icgp_rvo_mpc","1","0","0","0","0.5822569131851196","13.8","115","0.1480254232883453","0.9867193652316928","12.011633986548986","0.6763242992291572","0.4546843295350023","0.4973789131485239","0.2865217391304347","0.1347826086956521","0.2105989959385049","0.3659979983330177","0.3821601551214917","0.7219953208098683","0.7478260869565218","0.0","0.0","0.0","0.0","0.0","12"
"bottleneck","4","14288","icgp_rvo_mpc","0","0","1","0","0.5150189399719238","16.8","140","0.2222736179828643","0.9799808170646428","12.107220241427058","0.6375564914779845","0.4118437154883785","0.648273571433882","0.2810714285714286","0.1089285714285714","0.1921229199767246","0.3583588876276023","0.3664701571355649","0.7273111579118879","0.6875","0.0071428571428571","1.0","0.0","0.9446545919193317","0.055050023458898","13"
