noise_level,scenario,robots,seed_index,primary,baseline,comparison,metric,direction,primary_value,baseline_value,delta,signed_improvement
clean,corridor,4,20,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.497450590133667,0.506458044052124,-0.009007453918457031,-0.009007453918457031
clean,corridor,4,21,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,21,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,1.0,1.0,0.0,-0.0
clean,corridor,4,21,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,21,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.9874080112203956,0.9809065144509076,0.006501496769487969,0.006501496769487969
clean,corridor,4,21,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1284527331590652,0.1947754472494125,-0.06632271409034732,0.06632271409034732
clean,corridor,4,21,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,13.44,12.48,0.9599999999999991,-0.9599999999999991
clean,corridor,4,21,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.5059599876403809,0.495081216096878,0.010878771543502863,0.010878771543502863
clean,corridor,4,22,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,22,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,22,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,22,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.9815393332391976,0.9868758674710988,-0.005336534231901169,-0.005336534231901169
clean,corridor,4,22,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1886408030986786,0.1341092884540558,0.0545315146446228,-0.0545315146446228
clean,corridor,4,22,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,12.0,12.72,-0.7200000000000006,0.7200000000000006
