noise_level,scenario,robots,seed_index,contrast,metric,direction,residual_conditioning_effect,plain_conditioning_effect,interaction_delta
high,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,0.08453094959259033,-0.13972395658493042,0.22425490617752075
clean,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
clean,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
clean,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
clean,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,0.012493643909692764,0.05757463350892078,-0.045080989599228016
clean,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,-0.1295590102672577,-0.5970485806465149,0.4674895703792572
clean,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,0.0,0.0,0.0
clean,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,-0.248741180896759,0.01998215913772583,-0.26872334003448484
low,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
low,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
low,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
low,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,-0.008708391338586807,0.007047619670629612,-0.01575601100921642
low,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,0.09030598402023315,-0.07308375835418701,0.16338974237442017
low,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,0.0,0.0,0.0
low,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,0.25955417871475217,-0.24855780601501465,0.5081119847297668
medium,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
medium,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
medium,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
medium,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,-0.0023429617285728455,0.0014889687299728394,-0.003831930458545685
medium,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,0.02429652214050293,-0.015440583229064941,0.03973710536956787
medium,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,0.0,0.0,0.0
medium,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,-0.1327686083277111,-0.11820919586431144,-0.014559412463399646
high,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
high,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
high,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
high,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,0.01008477434515942,0.015186019241809956,-0.005101244896650536
high,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,-0.10457903146743774,-0.15747892856597911,0.05289989709854137
high,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,0.0,0.0,0.0
high,merge_bottleneck,4,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,-1.785809530130411e-05,0.002005173394718951,-0.002023031490020255
clean,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
clean,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,1.0,0.0,1.0
clean,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
clean,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,-0.007960274815559387,-0.04876820743083954,0.04080793261528015
clean,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,0.08249783515930176,0.5054185390472412,-0.42292070388793945
clean,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,0.0,0.0,0.0
clean,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,-0.08220943808555603,-0.0605846643447876,-0.021624773740768433
low,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
low,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
low,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
low,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,0.05524551868438721,-0.06024646759033203,0.11549198627471924
low,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,-0.572547435760498,0.6243758201599121,-1.1969232559204102
low,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,0.0,0.0,0.0
low,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,-0.13001203536987305,0.017126142978668213,-0.14713817834854126
medium,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
medium,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,-1.0,1.0
medium,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
