time_s,robot_id,model_name,pose_topic,x,y,yaw,bridge_source,odom_mode,start_x,start_y,start_error_m,within_start_tolerance
15.300000,robot2,robot2,/robot2/ground_truth_pose,-2.199945,0.299716,-0.158952,model_states,world,-2.200000,0.300000,0.000289,True
15.300000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
15.300000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
15.400000,robot1,robot1,/robot1/ground_truth_pose,-2.200009,-0.899977,0.288597,model_states,world,-2.200000,-0.900000,0.000024,True
15.400000,robot2,robot2,/robot2/ground_truth_pose,-2.199945,0.299716,-0.158962,model_states,world,-2.200000,0.300000,0.000289,True
15.400000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
15.400000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
15.500000,robot1,robot1,/robot1/ground_truth_pose,-2.200010,-0.899977,0.288619,model_states,world,-2.200000,-0.900000,0.000025,True
15.500000,robot2,robot2,/robot2/ground_truth_pose,-2.199944,0.299717,-0.158973,model_states,world,-2.200000,0.300000,0.000289,True
15.500000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
15.500000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
15.600000,robot1,robot1,/robot1/ground_truth_pose,-2.200010,-0.899977,0.288637,model_states,world,-2.200000,-0.900000,0.000025,True
15.600000,robot2,robot2,/robot2/ground_truth_pose,-2.199944,0.299717,-0.158984,model_states,world,-2.200000,0.300000,0.000288,True
15.600000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
15.600000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
15.700000,robot1,robot1,/robot1/ground_truth_pose,-2.200010,-0.899976,0.288657,model_states,world,-2.200000,-0.900000,0.000026,True
15.700000,robot2,robot2,/robot2/ground_truth_pose,-2.199944,0.299717,-0.158994,model_states,world,-2.200000,0.300000,0.000288,True
15.700000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
15.700000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
15.800000,robot1,robot1,/robot1/ground_truth_pose,-2.200011,-0.899976,0.288678,model_states,world,-2.200000,-0.900000,0.000026,True
15.800000,robot2,robot2,/robot2/ground_truth_pose,-2.199944,0.299718,-0.159005,model_states,world,-2.200000,0.300000,0.000288,True
15.800000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
15.800000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
15.900000,robot1,robot1,/robot1/ground_truth_pose,-2.200011,-0.899976,0.288696,model_states,world,-2.200000,-0.900000,0.000027,True
15.900000,robot2,robot2,/robot2/ground_truth_pose,-2.199944,0.299718,-0.159016,model_states,world,-2.200000,0.300000,0.000287,True
15.900000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
15.900000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
16.000000,robot1,robot1,/robot1/ground_truth_pose,-2.200011,-0.899975,0.288715,model_states,world,-2.200000,-0.900000,0.000027,True
16.000000,robot2,robot2,/robot2/ground_truth_pose,-2.199944,0.299719,-0.159026,model_states,world,-2.200000,0.300000,0.000287,True
16.000000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
16.000000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
16.100000,robot1,robot1,/robot1/ground_truth_pose,-2.200012,-0.899975,0.288736,model_states,world,-2.200000,-0.900000,0.000027,True
16.100000,robot2,robot2,/robot2/ground_truth_pose,-2.199943,0.299719,-0.159035,model_states,world,-2.200000,0.300000,0.000287,True
16.100000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
16.100000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
16.200000,robot1,robot1,/robot1/ground_truth_pose,-2.200012,-0.899975,0.288753,model_states,world,-2.200000,-0.900000,0.000028,True
16.200000,robot2,robot2,/robot2/ground_truth_pose,-2.199943,0.299719,-0.159045,model_states,world,-2.200000,0.300000,0.000286,True
16.200000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
16.200000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
16.300000,robot1,robot1,/robot1/ground_truth_pose,-2.200012,-0.899974,0.288772,model_states,world,-2.200000,-0.900000,0.000028,True
16.300000,robot2,robot2,/robot2/ground_truth_pose,-2.199943,0.299720,-0.159055,model_states,world,-2.200000,0.300000,0.000286,True
16.300000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
16.300000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
16.400000,robot1,robot1,/robot1/ground_truth_pose,-2.200013,-0.899974,0.288792,model_states,world,-2.200000,-0.900000,0.000029,True
16.400000,robot2,robot2,/robot2/ground_truth_pose,-2.199942,0.299720,-0.159064,model_states,world,-2.200000,0.300000,0.000286,True
