time_s,robot_id,method,vx_cmd,wz_cmd,acc_x,acc_y,latency_ms,fallback,fallback_reason,goal_distance_m
49.200000,robot3,icgp_rvo_mpc,0.060933,-1.497701,-0.411953,0.181092,212.692044,False,,4.339700
49.200000,robot4,icgp_rvo_mpc,0.039085,1.571580,-0.441525,-0.086926,213.812089,False,,4.392836
50.400000,robot1,icgp_rvo_mpc,0.114355,-1.337810,0.335142,0.300299,211.141691,False,,3.409524
50.400000,robot2,icgp_rvo_mpc,0.163420,0.307894,0.411370,-0.182413,278.315551,False,,3.476013
50.400000,robot3,icgp_rvo_mpc,0.088495,-0.021740,-0.399241,0.207622,166.739354,False,,4.304997
50.400000,robot4,icgp_rvo_mpc,0.039587,1.600000,-0.436343,-0.110022,145.130938,False,,4.386711
50.400000,robot1,icgp_rvo_mpc,0.114355,-1.337810,0.335142,0.300299,275.783416,False,,3.409524
50.400000,robot2,icgp_rvo_mpc,0.163420,0.307894,0.411370,-0.182413,219.512278,False,,3.476013
50.400000,robot3,icgp_rvo_mpc,0.088495,-0.021740,-0.399241,0.207622,238.549424,False,,4.304997
50.400000,robot4,icgp_rvo_mpc,0.039587,1.600000,-0.436343,-0.110022,135.393306,False,,4.386711
51.200000,robot1,icgp_rvo_mpc,0.030147,-1.600000,0.435989,-0.111416,170.194877,False,,3.413497
51.200000,robot2,icgp_rvo_mpc,0.188294,0.218718,0.396099,0.213555,180.613309,False,,3.357194
51.200000,robot3,icgp_rvo_mpc,0.100452,0.641900,-0.383065,-0.017959,164.189571,False,,4.251231
51.200000,robot4,icgp_rvo_mpc,0.031951,-1.600000,-0.027727,0.449145,142.314386,False,,4.364490
51.200000,robot1,icgp_rvo_mpc,0.030147,-1.600000,0.435989,-0.111416,186.018456,False,,3.413497
51.200000,robot2,icgp_rvo_mpc,0.188294,0.218718,0.396099,0.213555,220.500440,False,,3.357194
51.200000,robot3,icgp_rvo_mpc,0.100452,0.641900,-0.383065,-0.017959,154.203220,False,,4.251231
51.200000,robot4,icgp_rvo_mpc,0.031951,-1.600000,-0.027727,0.449145,205.475437,False,,4.364490
52.000000,robot1,icgp_rvo_mpc,0.021338,-1.600000,0.400648,-0.204893,272.955588,False,,3.429870
52.000000,robot2,icgp_rvo_mpc,0.221206,-0.112036,0.437710,0.084989,152.615274,False,,3.221509
52.000000,robot3,icgp_rvo_mpc,0.103135,0.609125,-0.217826,-0.393766,127.913581,False,,4.177067
52.000000,robot4,icgp_rvo_mpc,0.001825,-1.600000,0.016376,0.449702,194.061212,False,,4.336455
52.000000,robot1,icgp_rvo_mpc,0.021338,-1.600000,0.400648,-0.204893,320.367302,False,,3.429870
52.000000,robot2,icgp_rvo_mpc,0.221206,-0.112036,0.437710,0.084989,199.947264,False,,3.221509
52.000000,robot3,icgp_rvo_mpc,0.103135,0.609125,-0.217826,-0.393766,327.197240,False,,4.177067
52.000000,robot4,icgp_rvo_mpc,0.001825,-1.600000,0.016376,0.449702,352.289064,False,,4.336455
52.900000,robot1,icgp_rvo_mpc,0.007454,1.600000,0.376401,0.246622,228.597346,False,,3.422465
52.900000,robot2,icgp_rvo_mpc,0.240686,-0.209169,0.377730,-0.216761,206.963479,False,,3.071718
52.900000,robot3,icgp_rvo_mpc,0.133168,-0.791514,-0.402535,0.201161,263.046143,False,,4.102094
52.900000,robot4,icgp_rvo_mpc,0.021859,-1.600000,0.037094,0.448469,226.548765,False,,4.323409
52.900000,robot1,icgp_rvo_mpc,0.007454,1.600000,0.376401,0.246622,102.732980,False,,3.422465
52.900000,robot2,icgp_rvo_mpc,0.240686,-0.209169,0.377730,-0.216761,140.425988,False,,3.071718
52.900000,robot3,icgp_rvo_mpc,0.133168,-0.791514,-0.402535,0.201161,181.444631,False,,4.102094
52.900000,robot4,icgp_rvo_mpc,0.021859,-1.600000,0.037094,0.448469,206.717615,False,,4.323409
53.900000,robot1,icgp_rvo_mpc,0.014999,1.600000,0.378263,0.243756,208.564064,False,,3.431615
53.900000,robot2,icgp_rvo_mpc,0.265769,0.010907,0.339673,-0.215493,138.354324,False,,2.833211
53.900000,robot3,icgp_rvo_mpc,0.138892,-0.360027,-0.377290,0.245260,304.328533,False,,4.018485
53.900000,robot4,icgp_rvo_mpc,0.000000,1.600000,-0.440365,-0.092619,132.164364,False,,4.324772
