time_s,arrival_time_s,stamp_sec,stamp_nanosec,robot_id,frame_id,x,y,yaw,vx,vy,pose_source,source_topic,sample_age_s,time_basis
2.100000,14.000000,14,0,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
2.100000,14.000000,14,0,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
2.200000,14.100000,14,100000000,robot1,map,-2.200004,-0.899981,0.288311,0.000010,-0.000033,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
2.200000,14.100000,14,100000000,robot2,map,-2.199947,0.299712,-0.158816,0.000000,0.000006,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
2.200000,14.100000,14,100000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
2.200000,14.100000,14,100000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
2.300000,14.200000,14,200000000,robot1,map,-2.200004,-0.899981,0.288335,-0.000001,-0.000001,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
2.300000,14.200000,14,200000000,robot2,map,-2.199947,0.299712,-0.158827,0.000003,0.000002,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
2.300000,14.200000,14,200000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
2.300000,14.200000,14,200000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
2.400000,14.300000,14,300000000,robot1,map,-2.200005,-0.899981,0.288360,-0.000005,-0.000001,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
2.400000,14.300000,14,300000000,robot2,map,-2.199947,0.299712,-0.158839,0.000003,0.000003,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
2.400000,14.300000,14,300000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
