time_s,robot_id,x,y,yaw,vx,vy
63.150000000000006,robot1,1.9634149999999997,0.7197724999999998,3.4726413071795874,-0.11282299999999995,-0.03626350000000016
63.150000000000006,robot2,-0.5564004999999996,1.637602,-0.2625490000000008,0.10574949999999998,-0.027045000000000083
63.150000000000006,robot3,0.34643800000000036,0.046404000000000105,6.605741807179585,0.08572900000000003,0.030135999999999896
63.150000000000006,robot4,-1.3329794999999998,-0.10706999999999998,-6.255690807179586,0.03164850000000017,0.0009955000000002026
63.2,robot1,1.95781,0.717849,3.492539307179586,-0.112098,-0.038466
63.2,robot2,-0.551122,1.636192,-0.274048,0.105569,-0.028206
63.2,robot3,0.350739,0.047838,6.592137307179586,0.086023,0.028683
63.2,robot4,-1.331278,-0.106878,-6.253444307179587,0.034027,0.003845
63.25,robot1,1.952277,0.7157005,3.5125008071795865,-0.111377,-0.040719000000000005
63.25,robot2,-0.5458985000000001,1.634643,-0.28542449999999997,0.10501949999999999,-0.029593500000000002
63.25,robot3,0.3550765,0.049157,6.578532307179586,0.086389,0.0275285
63.25,robot4,-1.3296489999999999,-0.1068135,-6.250873807179587,0.033305,0.002565
63.300000000000004,robot1,1.9467439999999994,0.7135519999999996,3.532462307179589,-0.11065599999999987,-0.04297200000000032
63.300000000000004,robot2,-0.5406749999999992,1.6330939999999998,-0.2968010000000016,0.10446999999999995,-0.03098100000000015
63.300000000000004,robot3,0.3594140000000006,0.050476000000000174,6.564927307179585,0.08675500000000005,0.026373999999999835
63.300000000000004,robot4,-1.3280199999999998,-0.10674899999999998,-6.248303307179587,0.032583000000000015,0.0012849999999999843
63.35,robot1,1.9413119999999997,0.7111804999999998,3.5523888071795877,-0.10965249999999993,-0.04520000000000016
63.35,robot2,-0.5354794999999997,1.6314389999999999,-0.30817400000000084,0.10419199999999998,-0.032038500000000074
63.35,robot3,0.3637910000000003,0.05167600000000008,6.551285807179585,0.08714700000000003,0.025189999999999917
63.35,robot4,-1.32638,-0.106696,-6.245586807179587,0.03269050000000001,0.001174999999999992
63.400000000000006,robot1,1.9358799999999994,0.7088089999999997,3.5723153071795863,-0.10864899999999851,-0.04742799999999952
63.400000000000006,robot2,-0.5302839999999992,1.6297839999999997,-0.31954699999999964,0.10391400000000052,-0.033096000000000216
63.400000000000006,robot3,0.3681680000000006,0.05287600000000015,6.537644307179584,0.08753900000000005,0.02400599999999982
63.400000000000006,robot4,-1.3247399999999998,-0.10664299999999999,-6.242870307179587,0.03279799999999997,0.001065000000000042
63.45,robot1,1.9314969999999998,0.7067764999999999,3.572021307179586,-0.09815449999999926,-0.044041999999999755
63.45,robot2,-0.5247269999999996,1.6279769999999998,-0.31686899999999985,0.10752800000000026,-0.03462100000000011
63.45,robot3,0.3725720000000003,0.05394900000000008,6.523997807179585,0.08780750000000002,0.022733999999999907
63.45,robot4,-1.3231205,-0.10656,-6.240243807179586,0.032593999999999984,0.0013615000000000211
63.5,robot1,1.927114,0.704744,3.5717273071795863,-0.08766,-0.040656
63.5,robot2,-0.51917,1.62617,-0.314191,0.111142,-0.036146
63.5,robot3,0.376976,0.055022,6.510351307179587,0.088076,0.021462
63.5,robot4,-1.321501,-0.106477,-6.237617307179586,0.03239,0.001658
63.550000000000004,robot1,1.9234559999999996,0.7030749999999999,3.566038807179586,-0.08040699999999948,-0.03701549999999974
63.550000000000004,robot2,-0.5135169999999996,1.6243729999999998,-0.31029799999999974,0.11210100000000006,-0.03604299999999999
63.550000000000004,robot3,0.3814295000000003,0.055953000000000065,6.476848807179584,0.08857150000000004,0.020041499999999896
63.550000000000004,robot4,-1.319864,-0.106409,-6.234925807179586,0.03256650000000001,0.0015079999999999894
63.6,robot1,1.919798,0.701406,3.5603503071795863,-0.073154,-0.033375
63.6,robot2,-0.507864,1.622576,-0.306405,0.11306,-0.03594
63.6,robot3,0.385883,0.056884,6.443346307179587,0.089067,0.018621
63.6,robot4,-1.318227,-0.106341,-6.232234307179586,0.032743,0.001358
63.650000000000006,robot1,1.9160984999999997,0.6997834999999999,3.554728807179586,-0.07357100000000003,-0.03291199999999997
63.650000000000006,robot2,-0.5021764999999996,1.6207995,-0.3024534999999997,0.11340300000000002,-0.03573499999999998
63.650000000000006,robot3,0.38935950000000025,0.057259500000000026,6.386270807179582,0.0792979999999993,0.013063499999999603
63.650000000000006,robot4,-1.31749,-0.1063125,-6.224915307179585,0.02374249999999936,0.0009679999999999724
63.7,robot1,1.912399,0.698161,3.5491073071795864,-0.073988,-0.032449
63.7,robot2,-0.496489,1.619023,-0.298502,0.113746,-0.03553
63.7,robot3,0.392836,0.057635,6.329195307179586,0.069529,0.007506
63.7,robot4,-1.316753,-0.106284,-6.217596307179586,0.014742,0.000578
63.75,robot1,1.9086745,0.6965775000000001,3.5434763071795863,-0.07424249999999999,-0.032059000000000004
63.75,robot2,-0.490817,1.6173065000000002,-0.2946205,0.1135945,-0.0349255
63.75,robot3,0.3962795,0.057583499999999996,6.272250307179586,0.0692005,0.0032404999999999995
63.75,robot4,-1.316537,-0.106243,-6.208290807179586,0.009531,0.0006984999999999999
63.800000000000004,robot1,1.9049499999999995,0.6949939999999998,3.5378453071795852,-0.07449700000000001,-0.03166899999999993
63.800000000000004,robot2,-0.48514499999999916,1.6155899999999999,-0.29073899999999947,0.11344300000000003,-0.03432099999999994
63.800000000000004,robot3,0.3997230000000005,0.05753199999999994,6.2153053071795785,0.06887199999999999,-0.0010250000000005387
63.800000000000004,robot4,-1.316321,-0.106202,-6.198985307179585,0.004320000000000077,0.000818999999999963
63.85,robot1,1.9012139999999997,0.6934589999999999,3.532225807179586,-0.0746065,-0.03118799999999997
63.85,robot2,-0.4794569999999996,1.6139145,-0.28687849999999976,0.11360250000000001,-0.03391749999999997
63.85,robot3,0.40315850000000025,0.05710199999999997,6.158385307179582,0.06879249999999999,-0.00481500000000027
63.85,robot4,-1.3160505,-0.106187,-6.189669807179586,0.004866000000000039,0.0005589999999999815
63.900000000000006,robot1,1.8974779999999996,0.6919239999999998,3.5266063071795855,-0.07471600000000002,-0.03070699999999994
63.900000000000006,robot2,-0.47376899999999916,1.6122389999999998,-0.28301799999999944,0.11376200000000006,-0.033513999999999954
63.900000000000006,robot3,0.4065940000000005,0.05667199999999988,6.101465307179578,0.06871299999999993,-0.008605000000000555
63.900000000000006,robot4,-1.31578,-0.106172,-6.180354307179585,0.0054119999999999386,0.00029900000000003383
63.95,robot1,1.8937339999999998,0.6904314999999999,3.520990307179586,-0.0748005,-0.03027749999999997
63.95,robot2,-0.4680429999999996,1.610596,-0.2790599999999997,0.11414100000000002,-0.03318649999999998
63.95,robot3,0.40998500000000027,0.05585049999999994,6.044535807179582,0.06826799999999997,-0.012515000000000278
63.95,robot4,-1.3155525,-0.10613299999999999,-6.1711518071795854,0.004980499999999969,0.0005370000000000168
64.0,robot1,1.88999,0.688939,3.515374307179586,-0.074885,-0.029848
64.0,robot2,-0.462317,1.608953,-0.275102,0.11452,-0.032859
64.0,robot3,0.413376,0.055029,5.987606307179586,0.067823,-0.016425
64.0,robot4,-1.315325,-0.106094,-6.1619493071795866,0.004549,0.000775
64.05,robot1,1.8862245000000002,0.6874914999999999,3.5097203071795864,-0.0750975,-0.029399
64.05,robot2,-0.4566075,1.607371,-0.2712175,0.1143555,-0.032251
64.05,robot3,0.416635,0.053831000000000004,5.930696307179587,0.066501,-0.0201925
64.05,robot4,-1.3150655,-0.106068,-6.152666807179586,0.004869,0.0006464999999999999
64.10000000000001,robot1,1.8824589999999992,0.6860439999999997,3.5040663071795883,-0.07530999999999824,-0.02894999999999926
64.10000000000001,robot2,-0.4508979999999984,1.6057889999999995,-0.26733299999999743,0.11419099999999995,-0.03164299999999988
64.10000000000001,robot3,0.4198940000000009,0.052632999999999555,5.873786307179571,0.0651789999999996,-0.023960000000001015
64.10000000000001,robot4,-1.314806,-0.10604199999999998,-6.143384307179583,0.0051889999999999116,0.0005180000000000548
64.15,robot1,1.8793154999999995,0.6848569999999998,3.5126588071795872,-0.06908999999999911,-0.02634449999999963
64.15,robot2,-0.4452064999999992,1.6042484999999997,-0.2582969999999987,0.11400749999999997,-0.03122749999999994
64.15,robot3,0.42301000000000044,0.051077499999999776,5.816877807179578,0.06374999999999979,-0.027539000000000508
64.15,robot4,-1.3145775,-0.105997,-6.134200807179585,0.004878499999999956,0.0007105000000000274
64.2,robot1,1.876172,0.68367,3.521251307179586,-0.06287,-0.023739
64.2,robot2,-0.439515,1.602708,-0.249261,0.113824,-0.030812
64.2,robot3,0.426126,0.049522,5.7599693071795866,0.062321,-0.031118
64.2,robot4,-1.314349,-0.105952,-6.125017307179586,0.004568,0.000903
